,Target,OBC,OBC,Local Var,
,PacketID,0x25,,
,Enable/Disable,ENABLE,
,IsRestricted,FALSE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Comment,TLM Entry,Onboard Software Info.,,Extraction Info.,,,,Conversion Info.,,,,,,,,Description,Note
,Name,Var.%%##Type,Variable or Function Name,Ext.%%##Type,Pos. Desiginator,,,Conv.%%##Type,Poly (��a_i * x^i),,,,,,Status,,
,,,,,Octet%%##Pos.,bit%%##Pos.,bit%%##Len.,,a0,a1,a2,a3,a4,a5,,,
,CMD6.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+6].cmd_func),PACKET,69,0,32,HEX,,,,,,,,,
,CMD6.PARAM0_SIZE,uint8_t,,PACKET,73,0,4,,,
,CMD6.PARAM1_SIZE,,,PACKET,73,4,4,,,
,CMD6.PARAM2_SIZE,uint8_t,,PACKET,74,0,4,,,
,CMD6.PARAM3_SIZE,,,PACKET,74,4,4,,,
,CMD6.PARAM4_SIZE,uint8_t,,PACKET,75,0,4,,,
,CMD6.PARAM5_SIZE,,,PACKET,75,4,4,,,
,CMD7.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+7].cmd_func),PACKET,76,0,32,HEX,,,,,,,,,
,CMD7.PARAM0_SIZE,uint8_t,,PACKET,80,0,4,,,
,CMD7.PARAM1_SIZE,,,PACKET,80,4,4,,,
,CMD7.PARAM2_SIZE,uint8_t,,PACKET,81,0,4,,,
,CMD7.PARAM3_SIZE,,,PACKET,81,4,4,,,
,CMD7.PARAM4_SIZE,uint8_t,,PACKET,82,0,4,,,
,CMD7.PARAM5_SIZE,,,PACKET,82,4,4,,,
,CMD8.FUNC,uint32_t,(uint32_t)(command_analyze->cmd_table[CA_TLM_PAGE_SIZE*(command_analyze->tlm_page_no)+8].cmd_func),PACKET,83,0,32,HEX,,,,,,,,,
,CMD8.PARAM0_SIZE,uint8_t,,PACKET,87,0,4,,,
,CMD8.PARAM1_SIZE,,,PACKET,87,4,4,,,
,CMD8.PARAM2_SIZE,uint8_t,,PACKET,88,0,4,,,
